"gemeindename","plz","bundesland","latitude","longitude","partnergemeinde","land","kontinent","seit","form","latitude_partner","longitude_partner"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Toledo","Spanien","Europa","1985","p","39.7859468","-4.1765423"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Montebourg","Frankreich","Europa","1960","f","49.4877","-1.3804"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Reims","Frankreich","Europa","1967","p","49.25","4.0333"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Halifax/Calderdale","Großbritannien","Europa","1979","p","",""
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Ningbo","China","Asien","1986","p","36.894361","98.604453"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Arlington","USA","Amerika","1993","p","32.692","-97.1105"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Kostroma","Rußland","Europa","2005","p","57.7672","40.9274"
"Aachen","52062","Nordrhein-Westfalen","50.776","6.0872","Kapstadt","Südafrika","Afrika","2005","p","48.2167543","16.3875898"
"Aachen (Kreis) (Aachen, Stadt)","52070","Nordrhein-Westfalen","1.288011","103.852371","Wojewodschaft Jelenia Góra (Hirschberg)","Polen","Europa","1990","p","51.414356","7.577272"
"Aalen","73430","Baden-Württemberg","48.8378","10.0933","Saint-Lô","Frankreich","Europa","1978","p","41.243726","-75.941898"
"Aalen","73430","Baden-Württemberg","48.8378","10.0933","Christchurch","Großbritannien","Europa","1981","p","-43.518023","172.627819"
"Aalen","73430","Baden-Württemberg","48.8378","10.0933","Tatabánya","Ungarn","Europa","1987","p","47.928974","16.203671"
"Aalen","73430","Baden-Württemberg","48.8378","10.0933","Antakya","Türkei","Europa","1995","p","36.208685","36.165637"
"Aalen","73430","Baden-Württemberg","48.8378","10.0933","Cervia","Italien","Europa","2011","p","44.263641","12.347119"
"Abensberg","93326","Bayern","48.8168","11.8498","Vratimov (Rattimau)","Tschech. Republik","Europa","1994","f","49.7699","18.3101"
"Abensberg","93326","Bayern","48.8168","11.8498","Parga","Griechenland","Europa","1985","p","39.2841","20.4"
"Abstatt","74232","Baden-Württemberg","49.0711","9.2928","Léhon","Frankreich","Europa","1981","p","47.928974","16.203671"
"Abstatt","74232","Baden-Württemberg","49.0711","9.2928","Kahemba","Zaire","Afrika","1989","p","-6.856487","13.429447"
"Abtsgmünd","73453","Baden-Württemberg","48.905654","9.972191","Castel Bolognese Ravenna","Italien","Europa","2007","p","44.312296","11.803791"
"Achberg","88147","Baden-Württemberg","47.6333","9.7167","St. Genis des Fontaines","Frankreich","Europa","2005","p","42.6861019","2.9059784"
"Achern","77855","Baden-Württemberg","48.6348","8.0523","Morez","Frankreich","Europa","1978","p","46.5254","6.0259"
"Achim","28832","Niedersachsen","53.0112","9.033","Cesis","Lettland","Europa","1992","p","47.928974","16.203671"
"Achim","28832","Niedersachsen","53.0112","9.033","Nowa Sol (Neusalz/Oder)","Polen","Europa","1989","p","",""
"Adelberg","73099","Baden-Württemberg","48.7587","9.5929","Lichtensteig","Schweiz","Europa","1978","p","47.322643","9.082106"
"Adelebsen","37139","Niedersachsen","51.5833","9.75","Ostrowek","Polen","Europa","1999","p","-9.687","124.4804"
"Adelebsen","37139","Niedersachsen","51.5833","9.75","Wielun","Polen","Europa","1999","p","-9.687","124.4804"
"Adelmannsfelden","73486","Baden-Württemberg","48.9548","10.0044","Bagnara di Romagna","Italien","Europa","2007","p","50.657794","6.787458"
"Adelsdorf","91325","Bayern","49.7122","10.895","Uggiate Trevano","Italien","Europa","1997","p","49.7092464","10.8842056"
"Adenau","53518","Rheinland-Pfalz","50.3833","6.9333","Sillery","Frankreich","Europa","1985","p","49.1982","4.1324"
"Adenau","53518","Rheinland-Pfalz","50.3833","6.9333","Bons en Chablais","Frankreich","Europa","2010","f","46.2645","6.371"
"Adenau","53518","Rheinland-Pfalz","50.3833","6.9333","Mellieha","Malta","Europa","1996","p","35.963113","14.363356"
"Adenau","53518","Rheinland-Pfalz","50.3833","6.9333","Castione della Presolana","Italien","Europa","2002","p","45.92214","10.080108"
"Adendorf","21365","Niedersachsen","53.2833","10.45","Saint Romain de Colbosc","Frankreich","Europa","2000","f","49.528797","0.365465"
"Adenstedt","31079","Niedersachsen","52","9.9333","Combloux","Frankreich","Europa","1971","p","45.8956","6.6411"
"Adlkofen","84166","Bayern","48.55","12.2667","Badia Calavena","Italien","Europa","1988","f","45.566225","11.154863"
"Affalterbach","71563","Baden-Württemberg","48.9227","9.3236","Téglás","Ungarn","Europa","1996","f","47.928974","16.203671"
"Affing","86444","Bayern","48.4667","10.9833","Lobez","Polen","Europa","2000","k","-9.687","124.4804"
"Ahaus","48683","Nordrhein-Westfalen","52.092","6.9739","Argentrè du Plessis","Frankreich","Europa","1976","p","48.057","-1.146"
"Ahaus","48683","Nordrhein-Westfalen","52.092","6.9739","Haaksbergen","Niederlande","Europa","1988","p","52.1567","6.7389"
"Ahaus","48683","Nordrhein-Westfalen","52.092","6.9739","Nagele","Niederlande","Europa","2000","k","52.6442","5.725"
"Ahlen","59227","Nordrhein-Westfalen","51.7634","7.8887","Differdingen","Luxemburg","Europa","1982","p","49.6117","6.13"
"Ahlen","59227","Nordrhein-Westfalen","51.7634","7.8887","Bagamoyo","Tansania","Afrika","1988","k","-6.447658","38.896381"
"Ahnatal","34292","Hessen","51.364798","9.397858","Krummnußbaum","Österreich","Europa","1996","p","47.928974","16.203671"
"Ahnatal","34292","Hessen","51.364798","9.397858","Wisches-Hersbach (Elsaß)","Frankreich","Europa","1990","f","26.2934","-97.9931"
"Ahorn","96482","Bayern","50.225","10.927","Irdning","Österreich","Europa","1975","p","47.4931","14.0822"
"Ahrensbök","23623","Schleswig-Holstein","54.006014","10.546967","N¢rre Alslev","Dänemark","Europa","1973","p","47.928974","16.203671"
"Ahrensburg","22926","Schleswig-Holstein","53.6751","10.2259","Feldkirchen","Österreich","Europa","2000","f","48.1481","11.731"
"Ahrensburg","22926","Schleswig-Holstein","53.6751","10.2259","Esplugues de Lobregat","Spanien","Europa","1988","p","53.6498933","10.2602224"
"Ahrensburg","22926","Schleswig-Holstein","53.6751","10.2259","Viljandi","Estland","Europa","1989","p","58.321892","25.467731"
"Ahrweiler (Kreis) (Bad Neuenahr-Ahrweiler, Stadt)","53458","Rheinland-Pfalz","50.5448","7.1339","Kivu","Ruanda","Afrika","1988","f","49.957575","7.265703"
"Aicha vorm Wald","94529","Bayern","48.6833","13.3","Großramnig","Österreich","Europa","1979","p","47.928974","16.203671"
"Aichach","86551","Bayern","48.4553","11.1359","Brixlegg (Tirol)","Österreich","Europa","1991","f","47.4283","11.9167"
"Aichtal","72631","Baden-Württemberg","48.6241","9.2377","Ligny","Frankreich","Europa","2000","f","47.928974","16.203671"
"Aichtal","72631","Baden-Württemberg","48.6241","9.2377","Sümeg","Ungarn","Europa","1990","p","47.928974","16.203671"
"Aidenbach","94501","Bayern","48.5703","13.09","Volyne (Wohlau)","Tschech. Republik","Europa","1991","f","49.1658","13.8862"
"Aindling","86447","Bayern","48.5136","10.9531","Fürstenfeld","Österreich","Europa","1952","f","47.928974","16.203671"
"Aindling","86447","Bayern","48.5136","10.9531","Avord","Frankreich","Europa","1976","p","47.0331","2.6533"
"Aken (Elbe)","6385","Sachsen-Anhalt","51.85","12.05","Anor","Frankreich","Europa","1993","p","6.867692","101.257745"
"Alb-Donau-Kreis (Kreis)","89077","Baden-Württemberg","48.330571","9.932762","Mid Glamorgan","Großbritannien","Europa","2000","p","3.001388","107.779761"
"Albbruck","79774","Baden-Württemberg","47.6","8.1333","Carmigno di Brenta","Italien","Europa","1965","p","50.657794","6.787458"
"Albersdorf","25767","Schleswig-Holstein","54.1479","9.2783","Manneville","Frankreich","Europa","1985","p","47.928974","16.203671"
