gemeindename,plz,bundesland,partnergemeinde,land,kontinent,seit,form,latitude,longitude
Aachen,52062,Nordrhein-Westfalen,Toledo,Spanien,Europa,1985,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Montebourg,Frankreich,Europa,1960,f,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Reims,Frankreich,Europa,1967,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Halifax/Calderdale,Großbritannien,Europa,1979,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Ningbo,China,Asien,1986,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Arlington,USA,Amerika,1993,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Kostroma,Rußland,Europa,2005,p,50.776,6.0872
Aachen,52062,Nordrhein-Westfalen,Kapstadt,Südafrika,Afrika,2005,p,50.776,6.0872
Aachen (Kreis) (Aachen, Stadt),52070,Nordrhein-Westfalen,Wojewodschaft Jelenia Góra (Hirschberg),Polen,Europa,1990,1.288011,103.852371
Aalen,73430,Baden-Württemberg,Saint-Lô,Frankreich,Europa,1978,p,48.8378,10.0933
Aalen,73430,Baden-Württemberg,Christchurch,Großbritannien,Europa,1981,p,48.8378,10.0933
Aalen,73430,Baden-Württemberg,Tatabánya,Ungarn,Europa,1987,p,48.8378,10.0933
Aalen,73430,Baden-Württemberg,Antakya,Türkei,Europa,1995,p,48.8378,10.0933
Aalen,73430,Baden-Württemberg,Cervia,Italien,Europa,2011,p,48.8378,10.0933
Abensberg,93326,Bayern,Vratimov (Rattimau),Tschech. Republik,Europa,1994,f,48.8168,11.8498
Abensberg,93326,Bayern,Parga,Griechenland,Europa,1985,p,48.8168,11.8498
Abstatt,74232,Baden-Württemberg,Léhon,Frankreich,Europa,1981,p,49.0711,9.2928
Abstatt,74232,Baden-Württemberg,Kahemba,Zaire,Afrika,1989,p,49.0711,9.2928
Abtsgmünd,73453,Baden-Württemberg,Castel Bolognese Ravenna,Italien,Europa,2007,p,48.905654,9.972191
Achberg,88147,Baden-Württemberg,St. Genis des Fontaines,Frankreich,Europa,2005,p,47.6333,9.7167
Achern,77855,Baden-Württemberg,Morez,Frankreich,Europa,1978,p,48.6348,8.0523
Achim,28832,Niedersachsen,Cesis,Lettland,Europa,1992,p,53.0112,9.033
Achim,28832,Niedersachsen,Nowa Sol (Neusalz/Oder),Polen,Europa,1989,p,53.0112,9.033
Adelberg,73099,Baden-Württemberg,Lichtensteig,Schweiz,Europa,1978,p,48.7587,9.5929
Adelebsen,37139,Niedersachsen,Ostrowek,Polen,Europa,1999,p,51.5833,9.75
Adelebsen,37139,Niedersachsen,Wielun,Polen,Europa,1999,p,51.5833,9.75
Adelmannsfelden,73486,Baden-Württemberg,Bagnara di Romagna,Italien,Europa,2007,p,48.9548,10.0044
Adelsdorf,91325,Bayern,Uggiate Trevano,Italien,Europa,1997,p,49.7122,10.895
Adenau,53518,Rheinland-Pfalz,Sillery,Frankreich,Europa,1985,p,50.3833,6.9333
Adenau,53518,Rheinland-Pfalz,Bons en Chablais,Frankreich,Europa,2010,f,50.3833,6.9333
Adenau,53518,Rheinland-Pfalz,Mellieha,Malta,Europa,1996,p,50.3833,6.9333
