municipality,plz,bundesland,state,latitude,longitude,municipality_place_name,partnergemeinde,land,country,kontinent,continent,seit,form,partner_latitude,partner_longitude,partner_place_name
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Kapstadt,Südafrika,South Africa,Afrika,Africa,2005,p,-28.479394,26.124518,South Africa
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Arlington,USA,United States,Amerika,America,1993,p,32.692000,-97.110500,"Arlington, 76014, Texas, United States"
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Ningbo,China,China,Asien,Asia,1986,p,36.894361,98.604453,China
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Toledo,Spanien,Spain,Europa,Europe,1985,p,39.778792,-4.097309,"Toledo, Spain"
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Reims,Frankreich,France,Europa,Europe,1967,p,49.250000,4.033300,"Reims, 51100, Marne, France"
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Montebourg,Frankreich,France,Europa,Europe,1960,f,49.487700,-1.380400,"Montebourg, 50310, Manche, France"
Aachen,52062,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Kostroma,Rußland,Russia,Europa,Europe,2005,p,57.767200,40.927400,"Kostroma, Костромская область, Russia"
"Aachen (Kreis) (Aachen, Stadt)",52070,Nordrhein-Westfalen,North Rhine-Westphalia,50.776000,6.087200,"Aachen, 52062, Nordrhein-Westfalen, Germany",Wojewodschaft Jelenia Góra (Hirschberg),Polen,Poland,Europa,Europe,1990,p,50.899700,15.729000,"Jelenia Góra, Dolnośląskie, Poland"
Aalen,73430,Baden-Württemberg,Baden-Wurttemberg,48.837800,10.093300,"Aalen, 73430, Baden-Württemberg, Germany",Antakya,Türkei,Turkey,Europa,Europe,1995,p,36.208685,36.165637,"Antakya, Hatay, Turkey"
Aalen,73430,Baden-Württemberg,Baden-Wurttemberg,48.837800,10.093300,"Aalen, 73430, Baden-Württemberg, Germany",Cervia,Italien,Italy,Europa,Europe,2011,p,44.263641,12.347119,"Cervia, RAVENNA, Italy"
Aalen,73430,Baden-Württemberg,Baden-Wurttemberg,48.837800,10.093300,"Aalen, 73430, Baden-Württemberg, Germany",Tatabánya,Ungarn,Hungary,Europa,Europe,1987,p,47.161064,19.133710,Hungary
Aalen,73430,Baden-Württemberg,Baden-Wurttemberg,48.837800,10.093300,"Aalen, 73430, Baden-Württemberg, Germany",Christchurch,Großbritannien,United Kingdom,Europa,Europe,1981,p,50.728849,-1.775229,"Christchurch, BH23 1BY, United Kingdom"
Abensberg,93326,Bayern,Bavaria,48.816800,11.849800,"Abensberg, 93326, Bayern, Germany",Parga,Griechenland,Greece,Europa,Europe,1985,p,39.284100,20.400000,"Parga, ΗΠΕΙΡΟΣ, Greece"
Abensberg,93326,Bayern,Bavaria,48.816800,11.849800,"Abensberg, 93326, Bayern, Germany",Vratimov (Rattimau),Tschech. Republik,Czech Republic,Europa,Europe,1994,f,49.769900,18.310100,"Vratimov, Moravskoslezský, Czech Republic"
Abstatt,74232,Baden-Württemberg,Baden-Wurttemberg,49.071100,9.292800,"Abstatt, 74232, Baden-Württemberg, Germany",Kahemba,Zaire,Zaire,Afrika,Africa,1989,p,-6.856487,13.429447,"Zaire, Angola"
Abstatt,74232,Baden-Württemberg,Baden-Wurttemberg,49.071100,9.292800,"Abstatt, 74232, Baden-Württemberg, Germany",Léhon,Frankreich,France,Europa,Europe,1981,p,43.769677,-0.467102,"Lhon, Montgaillard, 40500, Landes, France"
Abtsgmünd,73453,Baden-Württemberg,Baden-Wurttemberg,48.905654,9.972191,"73453, Baden-Württemberg, Germany",Castel Bolognese Ravenna,Italien,Italy,Europa,Europe,2007,p,44.312296,11.803791,"Castel Bolognese, RAVENNA, Italy"
Achberg,88147,Baden-Württemberg,Baden-Wurttemberg,47.633300,9.716700,"Achberg, 88147, Baden-Württemberg, Germany",St. Genis des Fontaines,Frankreich,France,Europa,Europe,2005,p,42.686102,2.905978,"Rue de Saint-Genis des Fontaines, Perpignan, 66100, Pyrénées-Orientales, France"
Achern,77855,Baden-Württemberg,Baden-Wurttemberg,48.634800,8.052300,"Achern, 77855, Baden-Württemberg, Germany",Morez,Frankreich,France,Europa,Europe,1978,p,46.525400,6.025900,"Morez, 39400, Jura, France"
